"","id","Treatment","Week","Sample","Cat_ID","dataset_ID"
"G41PR16","G41PR16","Placebo","-1","4541","Cat7","Cat7_wk-1"
"D46PR16","D46PR16","Placebo","-1","4546","Cat8","Cat8_wk-1"
"J45PR16","J45PR16","Placebo","-1","4545","Cat9","Cat9_wk-1"
"C34PR16","C34PR16","Placebo","-1","4534","Cat10","Cat10_wk-1"
"P43PR16","P43PR16","Placebo","-1","4543","Cat11","Cat11_wk-1"
"M48PR16","M48PR16","Placebo","-1","4548","Cat12","Cat12_wk-1"
"S42PR16","S42PR16","Control","-1","4542","Cat1","Cat1_wk-1"
"F47PR16","F47PR16","Control","-1","4547","Cat2","Cat2_wk-1"
"L50PR16","L50PR16","Control","-1","4550","Cat3","Cat3_wk-1"
"D35PR16","D35PR16","Control","-1","4535","Cat4","Cat4_wk-1"
"P37PR16","P37PR16","Control","-1","4537","Cat5","Cat5_wk-1"
"R40PR16","R40PR16","Control","-1","4540","Cat6","Cat6_wk-1"
"M39PR16","M39PR16","cART","-1","4539","Cat13","Cat13_wk-1"
"M52PR16","M52PR16","cART","-1","4552","Cat14","Cat14_wk-1"
"M44PR16","M44PR16","cART","-1","4544","Cat15","Cat15_wk-1"
"W36PR16","W36PR16","cART","-1","4536","Cat16","Cat16_wk-1"
"K53PR16","K53PR16","cART","-1","4553","Cat17","Cat17_wk-1"
"M51PR16","M51PR16","cART","-1","4551","Cat18","Cat18_wk-1"
"G410516","G410516","Placebo","5","4541","Cat7","Cat7_wk5"
"D460516","D460516","Placebo","5","4546","Cat8","Cat8_wk5"
"J450516","J450516","Placebo","5","4545","Cat9","Cat9_wk5"
"C340516","C340516","Placebo","5","4534","Cat10","Cat10_wk5"
"P430516","P430516","Placebo","5","4543","Cat11","Cat11_wk5"
"M480516","M480516","Placebo","5","4548","Cat12","Cat12_wk5"
"S420516","S420516","Control","5","4542","Cat1","Cat1_wk5"
"F470516","F470516","Control","5","4547","Cat2","Cat2_wk5"
"L500516","L500516","Control","5","4550","Cat3","Cat3_wk5"
"D350516","D350516","Control","5","4535","Cat4","Cat4_wk5"
"P370516","P370516","Control","5","4537","Cat5","Cat5_wk5"
"R400516","R400516","Control","5","4540","Cat6","Cat6_wk5"
"M390516","M390516","cART","5","4539","Cat13","Cat13_wk5"
"M520516","M520516","cART","5","4552","Cat14","Cat14_wk5"
"M440516","M440516","cART","5","4544","Cat15","Cat15_wk5"
"W360516","W360516","cART","5","4536","Cat16","Cat16_wk5"
"K530516","K530516","cART","5","4553","Cat17","Cat17_wk5"
"M510516","M510516","cART","5","4551","Cat18","Cat18_wk5"
"G411116","G411116","Placebo","11","4541","Cat7","Cat7_wk11"
"D461116","D461116","Placebo","11","4546","Cat8","Cat8_wk11"
"J451116","J451116","Placebo","11","4545","Cat9","Cat9_wk11"
"C341116","C341116","Placebo","11","4534","Cat10","Cat10_wk11"
"P431116","P431116","Placebo","11","4543","Cat11","Cat11_wk11"
"M481116","M481116","Placebo","11","4548","Cat12","Cat12_wk11"
"S421116","S421116","Control","11","4542","Cat1","Cat1_wk11"
"F471116","F471116","Control","11","4547","Cat2","Cat2_wk11"
"L501116","L501116","Control","11","4550","Cat3","Cat3_wk11"
"D351116","D351116","Control","11","4535","Cat4","Cat4_wk11"
"P371116","P371116","Control","11","4537","Cat5","Cat5_wk11"
"R401116","R401116","Control","11","4540","Cat6","Cat6_wk11"
"M391116","M391116","cART","11","4539","Cat13","Cat13_wk11"
"M521116","M521116","cART","11","4552","Cat14","Cat14_wk11"
"M441116","M441116","cART","11","4544","Cat15","Cat15_wk11"
"W361116","W361116","cART","11","4536","Cat16","Cat16_wk11"
"K531116","K531116","cART","11","4553","Cat17","Cat17_wk11"
"M511116","M511116","cART","11","4551","Cat18","Cat18_wk11"
"G412416","G412416","Placebo","24","4541","Cat7","Cat7_wk24"
"D462416","D462416","Placebo","24","4546","Cat8","Cat8_wk24"
"J452416","J452416","Placebo","24","4545","Cat9","Cat9_wk24"
"C342416","C342416","Placebo","24","4534","Cat10","Cat10_wk24"
"P432416","P432416","Placebo","24","4543","Cat11","Cat11_wk24"
"M482416","M482416","Placebo","24","4548","Cat12","Cat12_wk24"
"S422416","S422416","Control","24","4542","Cat1","Cat1_wk24"
"F472416","F472416","Control","24","4547","Cat2","Cat2_wk24"
"L502416","L502416","Control","24","4550","Cat3","Cat3_wk24"
"D352416","D352416","Control","24","4535","Cat4","Cat4_wk24"
"P372416","P372416","Control","24","4537","Cat5","Cat5_wk24"
"R402416","R402416","Control","24","4540","Cat6","Cat6_wk24"
"M392416","M392416","cART","24","4539","Cat13","Cat13_wk24"
"M522416","M522416","cART","24","4552","Cat14","Cat14_wk24"
"M442416","M442416","cART","24","4544","Cat15","Cat15_wk24"
"W362416","W362416","cART","24","4536","Cat16","Cat16_wk24"
"K532416","K532416","cART","24","4553","Cat17","Cat17_wk24"
"M512416","M512416","cART","24","4551","Cat18","Cat18_wk24"
"PCon116","PCon116","positive_control",NA,"pcon1","Positive_control1","Positive_control1"
"PCon216","PCon216","positive_control",NA,"pcon2","Positive_control2","Positive_control2"
"PCon316","PCon316","positive_control",NA,"pcon3","Positive_control3","Positive_control3"
"NCon116","NCon116","negative_control",NA,"ncon1","Negative_control1","Negative_control1"
"NCon216","NCon216","negative_control",NA,"ncon2","Negative_control2","Negative_control2"
"NCon316","NCon316","negative_control",NA,"ncon3","Negative_control3","Negative_control3"
